0.00%	0.00%
6.28%	6.28%
12.57%	12.53%
18.85%	18.74%
25.13%	24.87%
31.42%	30.90%
37.70%	36.81%
43.98%	42.58%
50.27%	48.18%
56.55%	53.58%
62.83%	58.78%
69.12%	63.74%
75.40%	68.45%
81.68%	72.90%
87.96%	77.05%
94.25%	80.90%
100.53%	84.43%
106.81%	87.63%
113.10%	90.48%
119.38%	92.98%
125.66%	95.11%
131.95%	96.86%
138.23%	98.23%
144.51%	99.21%
150.80%	99.80%
157.08%	100.00%
163.36%	99.80%
169.65%	99.21%
175.93%	98.23%
182.21%	96.86%
188.50%	95.11%
194.78%	92.98%
201.06%	90.48%
207.35%	87.63%
213.63%	84.43%
219.91%	80.90%
226.19%	77.05%
232.48%	72.90%
238.76%	68.45%
245.04%	63.74%
251.33%	58.78%
257.61%	53.58%
263.89%	48.18%
270.18%	42.58%
276.46%	36.81%
282.74%	30.90%
289.03%	24.87%
295.31%	18.74%
301.59%	12.53%
307.88%	6.28%
314.16%	0.00%
320.44%	-6.28%
326.73%	-12.53%
333.01%	-18.74%
339.29%	-24.87%
345.58%	-30.90%
351.86%	-36.81%
358.14%	-42.58%
364.42%	-48.18%
370.71%	-53.58%
376.99%	-58.78%
383.27%	-63.74%
389.56%	-68.45%
395.84%	-72.90%
402.12%	-77.05%
408.41%	-80.90%
414.69%	-84.43%
420.97%	-87.63%
427.26%	-90.48%
433.54%	-92.98%
439.82%	-95.11%
446.11%	-96.86%
452.39%	-98.23%
458.67%	-99.21%
464.96%	-99.80%
471.24%	-100.00%
477.52%	-99.80%
483.81%	-99.21%
490.09%	-98.23%
496.37%	-96.86%
502.65%	-95.11%
508.94%	-92.98%
515.22%	-90.48%
521.50%	-87.63%
527.79%	-84.43%
534.07%	-80.90%
540.35%	-77.05%
546.64%	-72.90%
552.92%	-68.45%
559.20%	-63.74%
565.49%	-58.78%
571.77%	-53.58%
578.05%	-48.18%
584.34%	-42.58%
590.62%	-36.81%
596.90%	-30.90%
603.19%	-24.87%
609.47%	-18.74%
615.75%	-12.53%
622.04%	-6.28%
